picture,time,user_agent,ip
kitten1,2019-02-26 19:27:06.185482,"User-Agent,""Mozilla/5.0 (Linux; U; Android 4.2; en-us; Nexus 10 Build/JVP15I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30",248.194.198.47
kitten2,2019-02-26 19:27:06.229231,"User-Agent,""Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19",236.28.210.207
puppy2,2019-02-26 19:27:06.291174,"User-Agent,""Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19",236.28.210.207
kitten3,2019-02-26 19:27:06.335564,"User-Agent,""Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19",236.28.210.207
puppy3,2019-02-26 19:27:06.378886,"User-Agent,""Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19",236.28.210.207
puppy2,2019-02-26 19:27:06.422159,"User-Agent,""Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19",236.28.210.207
puppy2,2019-02-26 19:27:06.465367,"User-Agent,""Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19",236.28.210.207
puppy2,2019-02-26 19:27:06.508704,"User-Agent,""Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19",236.28.210.207
kitten2,2019-02-26 19:27:06.553020,"User-Agent,""Mozilla/5.0 (Linux; Android 4.0.4; Galaxy Nexus Build/IMM76B) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.133 Mobile Safari/535.19",236.28.210.207
kitten2,2019-02-26 19:27:06.596683,"User-Agent,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0",160.145.112.173
kitten3,2019-02-26 19:27:06.641288,"User-Agent,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0",160.145.112.173
kitten1,2019-02-26 19:27:06.684988,"User-Agent,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0",160.145.112.173
kitten1,2019-02-26 19:27:06.728297,"User-Agent,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0",160.145.112.173
puppy3,2019-02-26 19:27:06.772444,"User-Agent,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0",160.145.112.173
kitten1,2019-02-26 19:27:06.816831,"User-Agent,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0",160.145.112.173
kitten2,2019-02-26 19:27:06.861821,"User-Agent,""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Ubuntu/11.04 Chromium/15.0.871.0 Chrome/15.0.871.0 Safari/535.2",237.203.54.79
puppy2,2019-02-26 19:27:06.906114,"User-Agent,""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Ubuntu/11.04 Chromium/15.0.871.0 Chrome/15.0.871.0 Safari/535.2",237.203.54.79
kitten1,2019-02-26 19:27:06.950958,"User-Agent,""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Ubuntu/11.04 Chromium/15.0.871.0 Chrome/15.0.871.0 Safari/535.2",237.203.54.79
kitten3,2019-02-26 19:27:07.257059,"User-Agent,""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Ubuntu/11.04 Chromium/15.0.871.0 Chrome/15.0.871.0 Safari/535.2",237.203.54.79
puppy3,2019-02-26 19:27:07.302621,"User-Agent,""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Ubuntu/11.04 Chromium/15.0.871.0 Chrome/15.0.871.0 Safari/535.2",237.203.54.79
puppy1,2019-02-26 19:27:07.347631,"User-Agent,""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Ubuntu/11.04 Chromium/15.0.871.0 Chrome/15.0.871.0 Safari/535.2",237.203.54.79
kitten1,2019-02-26 19:27:07.391584,"User-Agent,""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Ubuntu/11.04 Chromium/15.0.871.0 Chrome/15.0.871.0 Safari/535.2",237.203.54.79
kitten1,2019-02-26 19:27:07.435603,"User-Agent,""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.2 (KHTML, like Gecko) Ubuntu/11.04 Chromium/15.0.871.0 Chrome/15.0.871.0 Safari/535.2",237.203.54.79
puppy2,2019-02-26 19:27:07.479292,"User-Agent,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0",178.173.234.241
kitten3,2019-02-26 19:27:07.523892,"User-Agent,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0",178.173.234.241
puppy2,2019-02-26 19:27:07.568280,"User-Agent,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0",178.173.234.241
kitten3,2019-02-26 19:27:07.611887,"User-Agent,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0",178.173.234.241
puppy2,2019-02-26 19:27:07.656747,"User-Agent,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0",178.173.234.241
puppy1,2019-02-26 19:27:07.702325,"User-Agent,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0",178.173.234.241
puppy2,2019-02-26 19:27:07.746916,"User-Agent,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0",178.173.234.241
kitten2,2019-02-26 19:27:07.790894,"User-Agent,Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:10.0) Gecko/20100101 Firefox/10.0",178.173.234.241
puppy1,2019-02-26 19:27:07.835366,"User-Agent,""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36 Edge/14.14359",82.222.250.110
kitten2,2019-02-26 19:27:07.880182,"User-Agent,""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36 Edge/14.14359",82.222.250.110
kitten2,2019-02-26 19:27:07.924866,"User-Agent,""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36 Edge/14.14359",82.222.250.110
puppy3,2019-02-26 19:27:07.969440,"User-Agent,""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36 Edge/14.14359",82.222.250.110
puppy2,2019-02-26 19:27:08.014425,"User-Agent,""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36 Edge/14.14359",82.222.250.110
kitten3,2019-02-26 19:27:08.059614,"User-Agent,""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36 Edge/14.14359",82.222.250.110
kitten2,2019-02-26 19:27:08.104943,"User-Agent,Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.2.1",93.142.118.130
puppy3,2019-02-26 19:27:08.160579,"User-Agent,Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.2.1",93.142.118.130
kitten1,2019-02-26 19:27:08.205972,"User-Agent,Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.2.1",93.142.118.130
puppy2,2019-02-26 19:27:08.250238,"User-Agent,Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.2.1",93.142.118.130
kitten2,2019-02-26 19:27:08.293974,"User-Agent,Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.2.1",93.142.118.130
kitten2,2019-02-26 19:27:08.339296,"User-Agent,Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.2.1",93.142.118.130
puppy2,2019-02-26 19:27:08.382921,"User-Agent,Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0 Iceweasel/38.2.1",93.142.118.130
kitten3,2019-02-26 19:27:08.427637,"User-Agent,Mozilla/4.0 (compatible; MSIE 5.01; Windows NT)",131.154.18.243
kitten1,2019-02-26 19:27:08.471702,"User-Agent,Mozilla/4.0 (compatible; MSIE 5.01; Windows NT)",131.154.18.243
puppy1,2019-02-26 19:27:08.515968,"User-Agent,Mozilla/4.0 (compatible; MSIE 5.01; Windows NT)",131.154.18.243
kitten2,2019-02-26 19:27:08.560464,"User-Agent,Mozilla/4.0 (compatible; MSIE 5.01; Windows NT)",131.154.18.243
kitten2,2019-02-26 19:27:08.604697,"User-Agent,Mozilla/4.0 (compatible; MSIE 5.01; Windows NT)",131.154.18.243
puppy3,2019-02-26 19:27:08.649007,"User-Agent,Mozilla/4.0 (compatible; MSIE 5.01; Windows NT)",131.154.18.243
kitten1,2019-02-26 19:27:08.692686,"User-Agent,Mozilla/4.0 (compatible; MSIE 5.01; Windows NT)",131.154.18.243
puppy2,2019-02-26 19:27:08.736709,"User-Agent,""Mozilla/5.0 (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19",114.163.225.71
puppy2,2019-02-26 19:27:08.780602,"User-Agent,""Mozilla/5.0 (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19",114.163.225.71
puppy3,2019-02-26 19:27:08.824875,"User-Agent,""Mozilla/5.0 (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19",114.163.225.71
puppy3,2019-02-26 19:27:08.868063,"User-Agent,""Mozilla/5.0 (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19",114.163.225.71
puppy1,2019-02-26 19:27:08.911673,"User-Agent,""Mozilla/5.0 (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19",114.163.225.71
kitten2,2019-02-26 19:27:08.954800,"User-Agent,""Mozilla/5.0 (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19",114.163.225.71
puppy3,2019-02-26 19:27:08.998210,"User-Agent,""Mozilla/5.0 (Linux; Android 4.1; Galaxy Nexus Build/JRN84D) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19",114.163.225.71
puppy2,2019-02-26 19:27:09.043839,"User-Agent,Mozilla/5.0 (Android; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0",32.173.194.208
puppy3,2019-02-26 19:27:09.086852,"User-Agent,Mozilla/5.0 (Android; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0",32.173.194.208
puppy1,2019-02-26 19:27:09.131310,"User-Agent,Mozilla/5.0 (Android; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0",32.173.194.208
kitten2,2019-02-26 19:27:09.174421,"User-Agent,Mozilla/5.0 (Android; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0",32.173.194.208
kitten1,2019-02-26 19:27:09.217689,"User-Agent,Mozilla/5.0 (Android; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0",32.173.194.208
puppy2,2019-02-26 19:27:09.261173,"User-Agent,Mozilla/5.0 (Android; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0",32.173.194.208
kitten1,2019-02-26 19:27:09.304044,"User-Agent,Mozilla/5.0 (Android; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0",32.173.194.208
puppy3,2019-02-26 19:27:09.347520,"User-Agent,Mozilla/5.0 (Android; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0",32.173.194.208
kitten1,2019-02-26 19:27:09.390725,"User-Agent,""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.39 (KHTML, like Gecko) Version/9.0 Safari/601.1.39",49.15.234.243
puppy2,2019-02-26 19:27:09.434249,"User-Agent,""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.39 (KHTML, like Gecko) Version/9.0 Safari/601.1.39",49.15.234.243
puppy3,2019-02-26 19:27:09.477369,"User-Agent,""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.39 (KHTML, like Gecko) Version/9.0 Safari/601.1.39",49.15.234.243
puppy1,2019-02-26 19:27:09.521076,"User-Agent,""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.39 (KHTML, like Gecko) Version/9.0 Safari/601.1.39",49.15.234.243
kitten3,2019-02-26 19:27:09.564614,"User-Agent,""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.39 (KHTML, like Gecko) Version/9.0 Safari/601.1.39",49.15.234.243
kitten1,2019-02-26 19:27:09.608041,"User-Agent,""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.39 (KHTML, like Gecko) Version/9.0 Safari/601.1.39",49.15.234.243
kitten1,2019-02-26 19:27:09.651753,"User-Agent,""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.39 (KHTML, like Gecko) Version/9.0 Safari/601.1.39",49.15.234.243
kitten2,2019-02-26 19:27:09.694944,"User-Agent,""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.39 (KHTML, like Gecko) Version/9.0 Safari/601.1.39",49.15.234.243
puppy3,2019-02-26 19:27:09.738929,"User-Agent,""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.39 (KHTML, like Gecko) Version/9.0 Safari/601.1.39",49.15.234.243
puppy1,2019-02-26 19:27:09.781966,"User-Agent,""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.39 (KHTML, like Gecko) Version/9.0 Safari/601.1.39",187.61.85.205
puppy3,2019-02-26 19:27:09.826204,"User-Agent,""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.39 (KHTML, like Gecko) Version/9.0 Safari/601.1.39",187.61.85.205
kitten1,2019-02-26 19:27:09.870251,"User-Agent,""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.39 (KHTML, like Gecko) Version/9.0 Safari/601.1.39",187.61.85.205
puppy1,2019-02-26 19:27:09.913578,"User-Agent,""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.39 (KHTML, like Gecko) Version/9.0 Safari/601.1.39",187.61.85.205
kitten3,2019-02-26 19:27:09.956178,"User-Agent,""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.39 (KHTML, like Gecko) Version/9.0 Safari/601.1.39",187.61.85.205
puppy1,2019-02-26 19:27:09.999300,"User-Agent,""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.39 (KHTML, like Gecko) Version/9.0 Safari/601.1.39",187.61.85.205
puppy2,2019-02-26 19:27:10.044168,"User-Agent,""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.39 (KHTML, like Gecko) Version/9.0 Safari/601.1.39",187.61.85.205
kitten2,2019-02-26 19:27:10.087126,"User-Agent,""Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",157.63.184.89
puppy3,2019-02-26 19:27:10.131949,"User-Agent,""Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",157.63.184.89
kitten2,2019-02-26 19:27:10.178150,"User-Agent,""Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",157.63.184.89
kitten2,2019-02-26 19:27:10.222376,"User-Agent,""Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",157.63.184.89
puppy1,2019-02-26 19:27:10.265758,"User-Agent,""Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",157.63.184.89
kitten1,2019-02-26 19:27:10.309410,"User-Agent,""Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",157.63.184.89
puppy1,2019-02-26 19:27:10.353638,"User-Agent,""Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",157.63.184.89
kitten3,2019-02-26 19:27:10.396572,"User-Agent,""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10547",76.111.145.76
kitten2,2019-02-26 19:27:10.439973,"User-Agent,""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10547",76.111.145.76
puppy3,2019-02-26 19:27:10.483580,"User-Agent,""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10547",76.111.145.76
kitten3,2019-02-26 19:27:10.527286,"User-Agent,""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10547",76.111.145.76
kitten3,2019-02-26 19:27:10.569960,"User-Agent,""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2486.0 Safari/537.36 Edge/13.10547",76.111.145.76
puppy2,2019-02-26 19:27:10.612005,"User-Agent,""Mozilla/5.0 (Windows; U; Windows NT 6.1; zh-HK) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5",110.181.209.142
puppy3,2019-02-26 19:27:10.654836,"User-Agent,""Mozilla/5.0 (Windows; U; Windows NT 6.1; zh-HK) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5",110.181.209.142
kitten3,2019-02-26 19:27:10.698227,"User-Agent,""Mozilla/5.0 (Windows; U; Windows NT 6.1; zh-HK) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5",110.181.209.142
puppy2,2019-02-26 19:27:10.742851,"User-Agent,""Mozilla/5.0 (Windows; U; Windows NT 6.1; zh-HK) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5",110.181.209.142
puppy3,2019-02-26 19:27:10.785769,"User-Agent,""Mozilla/5.0 (Windows; U; Windows NT 6.1; zh-HK) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5",110.181.209.142
kitten2,2019-02-26 19:27:10.828583,"User-Agent,""Mozilla/5.0 (Windows; U; Windows NT 6.1; zh-HK) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5",110.181.209.142
kitten2,2019-02-26 19:27:10.872350,"User-Agent,""Mozilla/5.0 (Windows; U; Windows NT 6.1; zh-HK) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5",110.181.209.142
puppy1,2019-02-26 19:27:10.915641,"User-Agent,""Mozilla/5.0 (Windows; U; Windows NT 6.1; zh-HK) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5",110.181.209.142
puppy2,2019-02-26 19:27:10.958978,"User-Agent,""Mozilla/5.0 (Windows; U; Windows NT 6.1; zh-HK) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5",110.181.209.142
puppy1,2019-02-26 19:27:11.002935,"User-Agent,""Mozilla/5.0 (Windows; U; Windows NT 6.1; zh-HK) AppleWebKit/533.18.1 (KHTML, like Gecko) Version/5.0.2 Safari/533.18.5",110.181.209.142
puppy3,2019-02-26 19:27:11.048960,"User-Agent,""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36 Edge/14.14359",54.240.98.194
kitten1,2019-02-26 19:27:11.092390,"User-Agent,""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36 Edge/14.14359",54.240.98.194
kitten2,2019-02-26 19:27:11.135738,"User-Agent,""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36 Edge/14.14359",54.240.98.194
kitten3,2019-02-26 19:27:11.178683,"User-Agent,""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36 Edge/14.14359",54.240.98.194
puppy2,2019-02-26 19:27:11.222434,"User-Agent,""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36 Edge/14.14359",54.240.98.194
puppy2,2019-02-26 19:27:11.266982,"User-Agent,""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36 Edge/14.14359",54.240.98.194
puppy2,2019-02-26 19:27:11.324430,"User-Agent,""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36 Edge/14.14359",54.240.98.194
kitten3,2019-02-26 19:27:11.370933,"User-Agent,""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36 Edge/14.14359",54.240.98.194
puppy3,2019-02-26 19:27:11.415300,"User-Agent,""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36 Edge/14.14359",54.240.98.194
puppy1,2019-02-26 19:27:11.458234,"User-Agent,""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36 Edge/14.14359",54.240.98.194
puppy2,2019-02-26 19:27:11.502379,"User-Agent,""Mozilla/5.0 (SMART-TV; Linux; Tizen 2.3) AppleWebkit/538.1 (KHTML, like Gecko) SamsungBrowser/1.0 TV Safari/538.1",136.224.39.12
puppy2,2019-02-26 19:27:11.546209,"User-Agent,""Mozilla/5.0 (SMART-TV; Linux; Tizen 2.3) AppleWebkit/538.1 (KHTML, like Gecko) SamsungBrowser/1.0 TV Safari/538.1",136.224.39.12
kitten1,2019-02-26 19:27:11.589165,"User-Agent,""Mozilla/5.0 (SMART-TV; Linux; Tizen 2.3) AppleWebkit/538.1 (KHTML, like Gecko) SamsungBrowser/1.0 TV Safari/538.1",136.224.39.12
